TIMESTAMP CPU% MEM% MEM_RSS_KB
2026-04-17_03:39:06  0.0  0.0  1928
2026-04-17_03:39:11 72.1 11.5 338672
2026-04-17_03:39:16 72.1 14.6 429276
2026-04-17_03:39:21 52.2 13.8 405524
2026-04-17_03:39:26 40.4 13.7 401492
2026-04-17_03:39:31 32.8 13.6 400604
2026-04-17_03:39:36 27.7 13.7 401124
2026-04-17_03:39:41 24.1 13.6 400404
2026-04-17_03:39:46 21.4 13.6 400136
2026-04-17_03:39:52 19.0 13.6 400136
2026-04-17_03:39:57 17.1 13.6 400136
2026-04-17_03:40:02 15.9 13.6 400136
2026-04-17_03:40:07 14.6 13.6 400144
2026-04-17_03:40:12 13.5 13.6 400144
2026-04-17_03:40:17 13.9 14.2 417760
